MORATORIUM TYPE,STREET ADDRESS BEGIN,STREET ADDRESS END,STREET ADDRESS PREFIX,STREET NAME,STREET NAME SUFFIX,START DATE,EXPIRATION DATE
Street Resurfacing,2400,2459,S,SAWYER,AVE,2011-08-22T00:00:00,2016-08-12T00:00:00
Street Resurfacing,1,1159,N,CICERO,AVE,2015-05-15T00:00:00,2020-05-15T00:00:00
Street Resurfacing,500,1555,E,83RD,ST,2015-09-24T00:00:00,2020-09-24T00:00:00
Street Resurfacing,1941,2159,W,108TH,PL,2011-07-31T00:00:00,2017-06-25T00:00:00
Street Resurfacing,44,66,E,BENTON,PL,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,5700,5759,S,MAPLEWOOD,AVE,2013-08-01T00:00:00,2018-08-01T00:00:00
Street Resurfacing,3832,3859,W,GEORGE,ST,2012-05-08T00:00:00,2017-05-08T00:00:00
Street Resurfacing,1800,1949,S,DRAKE,AVE,2012-05-17T00:00:00,2017-05-17T00:00:00
Street Resurfacing,2600,2659,E,105TH,ST,2011-08-08T00:00:00,2016-08-11T00:00:00
Street Resurfacing,2600,2759,N,MILDRED,AVE,2014-07-15T00:00:00,2019-07-15T00:00:00
Street Resurfacing,7122,7190,W,ALTGELD,ST,2015-06-12T00:00:00,2020-06-12T00:00:00
Street Resurfacing,2821,2958,W,LELAND,AVE,2014-07-21T00:00:00,2019-07-21T00:00:00
Street Resurfacing,2001,2159,W,CHURCHILL,ST,2012-12-19T00:00:00,2017-12-30T00:00:00
Street Resurfacing,2800,2959,N,KILPATRICK,AVE,2011-07-25T00:00:00,2016-10-12T00:00:00
Street Resurfacing,3700,3767,N,PULASKI,RD,2012-05-02T00:00:00,2019-05-02T00:00:00
Traffic Restriction,1532,1543,E,56TH,ST,2015-01-13T00:00:00,2024-12-31T00:00:00
Street Resurfacing,150,233,N,CARPENTER,ST,2012-07-13T00:00:00,2017-06-22T00:00:00
Street Resurfacing,9700,9816,S,VAN VLISSINGEN,RD,2011-07-19T00:00:00,2016-08-18T00:00:00
Street Resurfacing,4700,4725,W,86TH,ST,2015-08-03T00:00:00,2020-08-03T00:00:00
Street Resurfacing,3024,3067,E,88TH,ST,2012-09-29T00:00:00,2020-09-29T00:00:00
Street Resurfacing,4832,4881,W,HOMER,ST,2011-07-25T00:00:00,2017-11-03T00:00:00
Street Resurfacing,3032,3159,N,DAMEN,AVE,2013-07-01T00:00:00,2018-06-04T00:00:00
Street Resurfacing,6800,6959,S,CLYDE,AVE,2012-04-30T00:00:00,2017-04-30T00:00:00
Street Resurfacing,5101,5159,S,MOBILE,AVE,2012-09-25T00:00:00,2017-08-28T00:00:00
Street Resurfacing,3900,3924,N,PLAINFIELD,AVE,2015-09-22T00:00:00,2020-09-22T00:00:00
Street Resurfacing,3300,3459,N,RIDGEWAY,AVE,2012-10-24T00:00:00,2017-10-24T00:00:00
Street Resurfacing,8100,8159,S,MARYLAND,AVE,2015-07-15T00:00:00,2020-07-15T00:00:00
Street Resurfacing,1400,1559,N,WIELAND,ST,2014-07-14T00:00:00,2019-07-14T00:00:00
Street Resurfacing,1400,1559,N,AVERS,AVE,2011-08-15T00:00:00,2017-12-02T00:00:00
Street Resurfacing,5032,5071,S,EVANS,AVE,2012-10-31T00:00:00,2017-10-31T00:00:00
Street Resurfacing,7120,7259,N,ORIOLE,AVE,2011-08-17T00:00:00,2018-06-16T00:00:00
Street Resurfacing,1459,1659,N,KEDVALE,AVE,2013-09-05T00:00:00,2018-06-28T00:00:00
Street Resurfacing,4000,4359,W,CARROLL,AVE,2012-05-28T00:00:00,2017-05-28T00:00:00
Street Resurfacing,2001,2167,N,HUMBOLDT,BLVD,2013-06-28T00:00:00,2018-05-02T00:00:00
Traffic Restriction,200,1559,W,ROOSEVELT,RD,2015-03-01T00:00:00,2016-12-31T00:00:00
Street Resurfacing,3700,3959,W,28TH,ST,2011-08-22T00:00:00,2016-07-19T00:00:00
Street Resurfacing,6000,6159,S,ST LAWRENCE,AVE,2011-08-11T00:00:00,2016-06-04T00:00:00
Street Resurfacing,2100,2159,W,SCHOOL,ST,2015-01-12T00:00:00,2019-08-21T00:00:00
Street Resurfacing,5100,5159,N,KILDARE,AVE,2013-07-26T00:00:00,2018-07-26T00:00:00
Street Resurfacing,5900,5959,S,WOOD,ST,2013-05-16T00:00:00,2018-05-16T00:00:00
Street Resurfacing,5759,5856,S,ST LOUIS,AVE,2014-07-14T00:00:00,2019-07-14T00:00:00
Street Resurfacing,2600,2665,N,DAYTON,ST,2014-08-21T00:00:00,2019-08-21T00:00:00
Street Resurfacing,12300,12359,S,INDIANA,AVE,2013-08-28T00:00:00,2018-08-28T00:00:00
Street Resurfacing,3800,3957,W,25TH,ST,2013-05-08T00:00:00,2018-05-08T00:00:00
Street Resurfacing,3000,3058,N,HALSTED,ST,2011-02-09T00:00:00,2016-02-09T00:00:00
Street Resurfacing,6700,6759,N,RICHMOND,ST,2013-08-16T00:00:00,2018-08-16T00:00:00
Street Resurfacing,6000,6059,S,WOODLAWN,AVE,2015-11-02T00:00:00,2020-11-02T00:00:00
Street Resurfacing,2600,2618,W,AGATITE,AVE,2011-08-01T00:00:00,2016-10-21T00:00:00
Street Resurfacing,1700,1957,W,52ND,ST,2012-05-21T00:00:00,2017-05-21T00:00:00
Street Resurfacing,2638,2867,E,88TH,ST,2011-08-18T00:00:00,2016-06-21T00:00:00
Street Construction,4300,4359,S,CANAL,ST,2011-09-27T00:00:00,2017-09-27T00:00:00
Street Resurfacing,5301,5545,S,MARSHFIELD,AVE,2012-05-25T00:00:00,2017-05-03T00:00:00
Street Resurfacing,7532,7559,S,MICHIGAN,AVE,2014-12-03T00:00:00,2018-12-03T00:00:00
Street Resurfacing,4900,4929,W,BELLE PLAINE,AVE,2014-09-23T00:00:00,2019-09-23T00:00:00
Street Resurfacing,6700,6811,W,51ST,ST,2011-07-25T00:00:00,2016-11-10T00:00:00
Street Resurfacing,5232,5359,N,FRANCISCO,AVE,2014-08-13T00:00:00,2019-08-13T00:00:00
Street Resurfacing,3700,3826,N,ST LOUIS,AVE,2011-07-24T00:00:00,2017-10-06T00:00:00
Street Resurfacing,6200,6271,N,KIRKWOOD,AVE,2013-04-25T00:00:00,2018-04-25T00:00:00
Street Resurfacing,6500,6659,S,ELLIS,AVE,2013-12-27T00:00:00,2018-12-27T00:00:00
Street Resurfacing,1,77,E,93RD,ST,2014-09-03T00:00:00,2019-09-03T00:00:00
Street Resurfacing,3300,3359,W,19TH,ST,2012-10-03T00:00:00,2017-10-03T00:00:00
Street Resurfacing,3610,3665,N,PINE GROVE,AVE,2011-08-15T00:00:00,2017-09-14T00:00:00
Street Resurfacing,700,727,W,113TH,ST,2014-09-12T00:00:00,2019-09-12T00:00:00
Street Resurfacing,3932,4049,S,TALMAN,AVE,2011-12-02T00:00:00,2016-11-25T00:00:00
Street Resurfacing,3732,3759,W,104TH,ST,2015-06-24T00:00:00,2020-06-24T00:00:00
Street Resurfacing,5600,5759,N,MAPLEWOOD,AVE,2014-08-16T00:00:00,2019-08-16T00:00:00
Street Resurfacing,6132,6325,W,53RD,ST,2011-07-20T00:00:00,2017-08-20T00:00:00
Street Resurfacing,5400,5459,N,FRANCISCO,AVE,2013-10-07T00:00:00,2018-10-07T00:00:00
Street Resurfacing,3200,3437,N,CENTRAL PARK,AVE,2015-10-07T00:00:00,2020-10-07T00:00:00
Street Resurfacing,1732,1757,W,CRYSTAL,ST,2014-06-24T00:00:00,2019-06-24T00:00:00
Street Resurfacing,4926,5018,W,BALMORAL,AVE,2013-12-09T00:00:00,2018-12-09T00:00:00
Street Resurfacing,2100,2155,N,LARRABEE,ST,2012-08-31T00:00:00,2017-08-31T00:00:00
Street Resurfacing,801,959,N,WOOD,ST,2012-08-21T00:00:00,2017-08-09T00:00:00
Street Resurfacing,4325,4359,W,NORTH,AVE,2011-08-15T00:00:00,2016-08-15T00:00:00
Street Resurfacing,4900,5059,N,KOSTNER,AVE,2015-07-30T00:00:00,2020-07-30T00:00:00
Traffic Restriction,1,445,W,OHIO,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,925,1034,N,HOYNE,AVE,2014-08-26T00:00:00,2019-08-26T00:00:00
Street Resurfacing,2400,3800,W,MADISON,ST,2012-10-03T00:00:00,2017-10-03T00:00:00
Traffic Restriction,600,779,W,TAYLOR,ST,2015-03-01T00:00:00,2016-12-31T00:00:00
Street Resurfacing,5300,5359,S,WINCHESTER,AVE,2011-10-28T00:00:00,2016-10-17T00:00:00
Street Resurfacing,5947,5959,S,NATOMA,AVE,2015-07-02T00:00:00,2020-07-02T00:00:00
Street Resurfacing,1700,1759,W,79TH,ST,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Construction,3817,3821,N,KENTON,AVE,2014-10-06T00:00:00,2024-05-28T00:00:00
Street Resurfacing,300,339,S,THROOP,ST,2013-10-21T00:00:00,2018-10-21T00:00:00
Street Resurfacing,6200,6259,N,MAGNOLIA,AVE,2011-10-28T00:00:00,2016-10-11T00:00:00
Street Resurfacing,5832,5859,W,IRVING PARK,RD,2013-10-22T00:00:00,2018-10-22T00:00:00
Street Resurfacing,3257,3401,W,77TH,ST,2012-12-07T00:00:00,2017-12-07T00:00:00
Street Construction,5632,6365,W,GRAND,AVE,2006-08-01T00:00:00,2016-08-01T00:00:00
Street Construction,2801,2859,W,CARMEN,AVE,2006-11-01T00:00:00,2016-11-01T00:00:00
Street Resurfacing,800,1158,W,WOLFRAM,ST,2015-10-02T00:00:00,2020-10-02T00:00:00
Street Resurfacing,4910,5059,S,ROCKWELL,ST,2014-05-01T00:00:00,2019-05-01T00:00:00
Street Resurfacing,6600,6759,N,LORON,AVE,2013-06-13T00:00:00,2018-06-13T00:00:00
Street Resurfacing,800,1455,N,DEARBORN,ST,2013-05-03T00:00:00,2018-05-03T00:00:00
Street Resurfacing,1700,1767,N,STOCKTON,DR,2014-06-10T00:00:00,2019-06-10T00:00:00
Street Resurfacing,2200,2245,N,SAYRE,AVE,2012-06-15T00:00:00,2017-06-15T00:00:00
Street Resurfacing,3600,3661,W,GEORGE,ST,2013-04-24T00:00:00,2018-04-24T00:00:00
Street Resurfacing,4800,4905,S,WOOD,ST,2011-08-10T00:00:00,2017-11-12T00:00:00
Street Resurfacing,1748,1949,W,ESTES,AVE,2013-09-05T00:00:00,2018-09-05T00:00:00
Traffic Restriction,2908,2932,W,CORTEZ,ST,2015-06-12T00:00:00,2030-12-31T00:00:00
Street Resurfacing,4900,4957,N,WINTHROP,AVE,2011-08-18T00:00:00,2016-06-06T00:00:00
Street Resurfacing,8501,8559,S,ABERDEEN,ST,2013-07-01T00:00:00,2018-05-20T00:00:00
Street Resurfacing,7050,7050,S,INDIANA,AVE,2012-03-08T00:00:00,2017-03-08T00:00:00
Traffic Restriction,441,631,N,UNION,AVE,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Construction,2700,2981,S,LOOMIS,ST,2008-04-08T00:00:00,2018-04-08T00:00:00
Street Resurfacing,1132,1159,W,49TH,ST,2015-05-08T00:00:00,2020-05-08T00:00:00
Street Resurfacing,6000,6064,S,PERRY,AVE,2011-08-11T00:00:00,2017-10-19T00:00:00
Street Resurfacing,300,359,W,WELLINGTON,AVE,2012-08-28T00:00:00,2017-08-28T00:00:00
Street Resurfacing,200,325,W,HUBBARD,ST,2011-08-18T00:00:00,2017-09-29T00:00:00
Street Resurfacing,5700,5743,N,MARKHAM,AVE,2011-09-21T00:00:00,2016-09-21T00:00:00
Street Resurfacing,1400,1440,W,GRACE,ST,2015-10-14T00:00:00,2020-10-14T00:00:00
Street Resurfacing,236,299,E,CHESTNUT,ST,2011-08-18T00:00:00,2018-06-08T00:00:00
Street Resurfacing,2800,2859,S,SPRINGFIELD,AVE,2012-10-16T00:00:00,2017-10-16T00:00:00
Traffic Restriction,1300,1321,W,MONROE,PKWY,2007-03-29T00:00:00,2018-12-31T00:00:00
Street Resurfacing,4400,4459,W,CORTEZ,ST,2014-05-02T00:00:00,2019-05-02T00:00:00
Street Resurfacing,1500,1749,W,ESTES,AVE,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,1000,1059,E,42ND,PL,2012-10-03T00:00:00,2017-10-01T00:00:00
Street Construction,4300,4459,S,DEARBORN,ST,2011-09-23T00:00:00,2020-12-01T00:00:00
Street Resurfacing,1932,1979,E,72ND,PL,2012-05-25T00:00:00,2017-04-20T00:00:00
Street Resurfacing,3500,3565,N,OPAL,AVE,2014-10-10T00:00:00,2019-10-10T00:00:00
Street Resurfacing,300,327,N,WHIPPLE,ST,2013-07-01T00:00:00,2018-07-01T00:00:00
Traffic Restriction,1,199,W,CONGRESS,PKWY,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,2870,2904,W,HENDERSON,ST,2014-07-14T00:00:00,2019-07-14T00:00:00
Street Resurfacing,3232,3257,W,82ND,ST,2015-08-05T00:00:00,2020-08-05T00:00:00
Street Resurfacing,200,231,W,65TH,ST,2011-12-02T00:00:00,2016-11-28T00:00:00
Street Resurfacing,2832,2959,W,ALTGELD,ST,2012-06-07T00:00:00,2017-06-07T00:00:00
Street Resurfacing,9572,9645,S,COLFAX,AVE,2012-06-13T00:00:00,2017-06-08T00:00:00
Street Resurfacing,4700,6301,S,PULASKI,RD,2012-06-11T00:00:00,2017-06-08T00:00:00
Street Resurfacing,9500,9559,S,LOWE,AVE,2013-07-18T00:00:00,2018-07-18T00:00:00
Street Resurfacing,6325,7127,W,53RD,ST,2011-07-20T00:00:00,2017-08-24T00:00:00
Street Resurfacing,4400,4459,W,28TH,ST,2011-08-22T00:00:00,2016-07-08T00:00:00
Street Resurfacing,4900,4959,W,WELLINGTON,AVE,2013-10-16T00:00:00,2018-10-16T00:00:00
Street Resurfacing,3132,3159,N,FRANCISCO,AVE,2014-05-16T00:00:00,2019-05-16T00:00:00
Street Resurfacing,828,1559,W,ROOSEVELT,RD,2013-05-03T00:00:00,2018-05-03T00:00:00
Street Resurfacing,9100,9379,S,SOUTH CHICAGO,AVE,2012-06-15T00:00:00,2018-06-15T00:00:00
Street Resurfacing,7700,7759,S,CALUMET,AVE,2014-12-03T00:00:00,2018-12-03T00:00:00
Street Resurfacing,1,225,E,120TH,ST,2013-07-22T00:00:00,2018-07-22T00:00:00
Street Resurfacing,2400,2447,N,AVONDALE,AVE,2011-08-13T00:00:00,2017-11-29T00:00:00
Street Resurfacing,4302,4358,W,WABANSIA,AVE,2015-06-19T00:00:00,2020-06-19T00:00:00
Street Resurfacing,5200,5259,N,LEAVITT,ST,2013-10-04T00:00:00,2018-10-04T00:00:00
Street Resurfacing,7300,7351,N,BELL,AVE,2013-06-20T00:00:00,2018-06-20T00:00:00
Street Resurfacing,1,431,N,AUSTIN,AVE,2014-10-25T00:00:00,2019-10-25T00:00:00
Street Resurfacing,11301,11459,S,PARNELL,AVE,2012-05-11T00:00:00,2017-05-08T00:00:00
Street Resurfacing,2600,2659,W,HOMER,ST,2011-07-14T00:00:00,2016-07-14T00:00:00
Street Resurfacing,4500,4559,S,FORRESTVILLE,AVE,2014-11-28T00:00:00,2019-11-28T00:00:00
Street Resurfacing,2000,2170,W,WARNER,AVE,2014-10-23T00:00:00,2019-10-23T00:00:00
Street Resurfacing,11300,11359,S,WASHTENAW,AVE,2014-07-24T00:00:00,2019-07-24T00:00:00
Street Resurfacing,2800,2859,W,GREENLEAF,AVE,2015-08-25T00:00:00,2020-08-25T00:00:00
Traffic Restriction,1,1159,S,COLUMBUS,DR,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,1,269,N,CLARK,ST,2012-08-17T00:00:00,2017-08-07T00:00:00
Street Resurfacing,5700,5969,W,CHICAGO,AVE,2011-09-21T00:00:00,2016-09-21T00:00:00
Street Resurfacing,3600,3661,W,GLENLAKE,AVE,2013-09-10T00:00:00,2018-09-10T00:00:00
Street Resurfacing,45,99,E,MADISON,ST,2012-05-11T00:00:00,2017-05-11T00:00:00
Street Resurfacing,6300,6355,N,RIDGEWAY,AVE,2014-09-17T00:00:00,2019-09-17T00:00:00
Street Resurfacing,7300,7355,S,CALIFORNIA,AVE,2015-08-17T00:00:00,2020-08-17T00:00:00
Street Resurfacing,3959,4309,W,BERTEAU,AVE,2014-07-14T00:00:00,2019-07-14T00:00:00
Median Landscaped,10700,11459,S,HALSTED,ST,1999-11-15T00:00:00,2030-11-15T00:00:00
Traffic Restriction,1800,1827,S,WESTERN,AVE,2015-01-09T00:00:00,2024-12-31T00:00:00
Street Resurfacing,5200,5328,W,LAWRENCE,AVE,2015-07-15T00:00:00,2020-07-15T00:00:00
Street Resurfacing,2358,2564,N,KILBOURN,AVE,2013-10-15T00:00:00,2018-10-15T00:00:00
Street Resurfacing,5500,5559,W,BRYN MAWR,AVE,2011-08-01T00:00:00,2017-11-12T00:00:00
Street Resurfacing,2900,3200,W,EASTWOOD,AVE,2014-07-21T00:00:00,2019-07-21T00:00:00
Street Resurfacing,3100,3159,W,ARGYLE,ST,2014-10-16T00:00:00,2019-10-16T00:00:00
Street Resurfacing,1400,1559,S,LAWNDALE,AVE,2013-07-22T00:00:00,2019-07-22T00:00:00
Street Resurfacing,8100,8139,S,PHILLIPS,AVE,2013-08-06T00:00:00,2018-08-06T00:00:00
Street Resurfacing,304,526,W,WISCONSIN,ST,2011-08-15T00:00:00,2016-06-03T00:00:00
Traffic Restriction,1141,1151,E,75TH,ST,2015-01-13T00:00:00,2024-12-31T00:00:00
Street Resurfacing,1700,1740,W,GREENLEAF,AVE,2015-06-26T00:00:00,2020-06-26T00:00:00
Street Resurfacing,1000,1121,N,ORLEANS,ST,2011-07-25T00:00:00,2017-11-08T00:00:00
Street Resurfacing,3100,3159,S,HAMLIN,AVE,2013-05-06T00:00:00,2018-05-06T00:00:00
Street Resurfacing,4850,4923,N,MENARD,AVE,2011-08-01T00:00:00,2017-11-01T00:00:00
Median Landscaped,200,959,N,ASHLAND,AVE,2000-08-01T00:00:00,2030-08-01T00:00:00
Street Resurfacing,7059,7127,N,MANKATO,AVE,2011-07-22T00:00:00,2017-12-01T00:00:00
Street Resurfacing,7300,7359,S,LAFAYETTE,AVE,2012-06-27T00:00:00,2017-06-27T00:00:00
Street Resurfacing,3400,3432,W,30TH,ST,2014-12-03T00:00:00,2018-12-03T00:00:00
Street Resurfacing,4216,4925,N,CENTRAL,AVE,2015-05-15T00:00:00,2020-05-15T00:00:00
Traffic Restriction,1,433,E,SUPERIOR,ST,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,7300,7361,W,PRATT,AVE,2011-08-29T00:00:00,2018-08-01T00:00:00
Planned Street Resurfacing,8900,9027,S,INDIANA,AVE,2013-09-15T00:00:00,2018-09-15T00:00:00
Street Resurfacing,7700,7700,S,SPAULDING,AVE,2012-05-02T00:00:00,2019-05-02T00:00:00
Street Resurfacing,610,659,W,43RD,PL,2014-04-14T00:00:00,2019-04-14T00:00:00
Street Construction,2700,2760,S,WHIPPLE,ST,2011-09-27T00:00:00,2017-09-27T00:00:00
Street Resurfacing,5900,5965,N,KENMORE,AVE,2011-12-01T00:00:00,2016-12-01T00:00:00
Street Resurfacing,2444,2600,E,74TH,PL,2011-07-18T00:00:00,2016-08-25T00:00:00
Street Resurfacing,1552,1556,W,21ST,PL,2012-12-17T00:00:00,2019-12-31T00:00:00
Street Resurfacing,3127,3229,E,92ND,ST,2013-08-19T00:00:00,2018-08-09T00:00:00
Street Resurfacing,701,1015,W,ERIE,ST,2015-07-28T00:00:00,2020-07-28T00:00:00
Street Resurfacing,6500,6559,S,LAFLIN,ST,2014-05-20T00:00:00,2019-05-20T00:00:00
Street Resurfacing,4700,4724,W,LE MOYNE,ST,2013-12-24T00:00:00,2018-12-24T00:00:00
Street Resurfacing,7327,7359,N,WASHTENAW,AVE,2011-10-28T00:00:00,2016-10-27T00:00:00
Street Resurfacing,2300,2357,W,CONGRESS,PKWY,2014-11-08T00:00:00,2019-11-08T00:00:00
Street Resurfacing,9500,9911,S,MICHIGAN,AVE,2011-02-09T00:00:00,2016-02-09T00:00:00
Street Resurfacing,2610,2649,N,AVONDALE,AVE,2012-06-05T00:00:00,2017-06-05T00:00:00
Street Resurfacing,2000,2059,W,63RD,ST,2012-05-02T00:00:00,2017-05-02T00:00:00
Street Resurfacing,2854,2932,W,GIDDINGS,ST,2014-07-21T00:00:00,2019-07-21T00:00:00
Street Resurfacing,7300,7559,S,UNION,AVE,2014-10-27T00:00:00,2019-10-27T00:00:00
Street Resurfacing,6822,6895,N,LEOTI,AVE,2013-07-22T00:00:00,2018-07-22T00:00:00
Street Resurfacing,5701,6001,S,PEORIA,ST,2013-12-19T00:00:00,2018-12-19T00:00:00
Traffic Restriction,6401,6473,N,KINZUA,AVE,2015-01-09T00:00:00,2024-12-31T00:00:00
Street Resurfacing,6800,7059,N,OLCOTT,AVE,2011-08-18T00:00:00,2018-06-15T00:00:00
Street Resurfacing,6400,6459,S,MOBILE,AVE,2012-07-13T00:00:00,2017-07-13T00:00:00
Street Resurfacing,600,659,N,PAULINA,ST,2014-10-24T00:00:00,2019-10-24T00:00:00
Street Resurfacing,601,1377,S,LOOMIS,ST,2013-09-09T00:00:00,2018-08-30T00:00:00
Street Construction,600,625,S,KOLMAR,AVE,2011-09-27T00:00:00,2017-09-27T00:00:00
Street Resurfacing,8100,8159,S,ARTESIAN,AVE,2012-10-09T00:00:00,2017-10-09T00:00:00
Street Resurfacing,3301,3573,W,60TH,ST,2012-10-10T00:00:00,2017-10-01T00:00:00
Street Resurfacing,12700,12937,S,UNION,AVE,2012-08-06T00:00:00,2017-08-06T00:00:00
Street Resurfacing,1401,1559,S,SPRINGFIELD,AVE,2013-09-05T00:00:00,2018-07-09T00:00:00
Street Resurfacing,800,827,W,84TH,ST,2012-09-24T00:00:00,2017-09-24T00:00:00
Street Resurfacing,11601,11759,S,PARNELL,AVE,2014-07-14T00:00:00,2019-07-14T00:00:00
Street Construction,8110,8151,S,ELLIOTT,AVE,2012-06-20T00:00:00,2022-06-20T00:00:00
Street Resurfacing,3800,5159,W,LAKE,ST,2014-06-26T00:00:00,2019-06-26T00:00:00
Street Construction,4000,4059,W,LE MOYNE,ST,2013-08-27T00:00:00,2023-08-27T00:00:00
Street Resurfacing,5601,5759,W,LAWRENCE,AVE,2012-08-21T00:00:00,2017-08-08T00:00:00
Street Resurfacing,5932,5959,S,MOBILE,AVE,2014-10-02T00:00:00,2019-10-02T00:00:00
Street Resurfacing,450,600,W,24TH,PL,2015-06-19T00:00:00,2020-06-19T00:00:00
Street Resurfacing,700,761,N,WALLER,AVE,2012-05-21T00:00:00,2017-05-21T00:00:00
Street Resurfacing,11600,11759,S,EGGLESTON,AVE,2015-10-28T00:00:00,2020-05-08T00:00:00
Street Resurfacing,100,1769,E,103RD,ST,2014-09-12T00:00:00,2019-09-11T00:00:00
Street Resurfacing,2532,2559,W,68TH,ST,2011-10-07T00:00:00,2016-10-07T00:00:00
Street Resurfacing,8201,8259,S,MANISTEE,AVE,2011-06-16T00:00:00,2016-05-27T00:00:00
Street Resurfacing,500,979,N,MICHIGAN,AVE,2011-10-31T00:00:00,2016-10-31T00:00:00
Street Resurfacing,1500,1559,W,ROSEMONT,AVE,2015-05-29T00:00:00,2020-05-29T00:00:00
Street Resurfacing,6000,6059,S,NATOMA,AVE,2014-04-24T00:00:00,2019-04-24T00:00:00
Street Resurfacing,600,631,W,80TH,ST,2013-09-19T00:00:00,2018-09-19T00:00:00
Street Resurfacing,1700,1700,W,LUNT,AVE,2015-01-29T00:00:00,2019-11-04T00:00:00
Street Resurfacing,3000,3059,N,LOCKWOOD,AVE,2014-09-27T00:00:00,2019-09-27T00:00:00
Street Resurfacing,6300,6359,N,MAGNOLIA,AVE,2013-08-07T00:00:00,2018-08-07T00:00:00
Street Resurfacing,1400,1459,N,ASTOR,ST,2014-06-19T00:00:00,2019-06-19T00:00:00
Street Resurfacing,3444,3627,W,WABANSIA,AVE,2013-08-19T00:00:00,2018-08-05T00:00:00
Street Resurfacing,1400,1459,N,BELL,AVE,2015-08-06T00:00:00,2020-08-06T00:00:00
Street Resurfacing,2401,2457,W,GUNNISON,ST,2014-09-18T00:00:00,2019-09-18T00:00:00
Street Construction,7400,7447,S,ADA,ST,2011-09-27T00:00:00,2018-09-27T00:00:00
Traffic Restriction,5100,5245,S,INGLESIDE,AVE,2009-02-27T00:00:00,2019-01-21T00:00:00
Street Resurfacing,2800,2859,S,KILBOURN,AVE,2014-10-24T00:00:00,2019-10-24T00:00:00
Street Resurfacing,1000,1159,N,MAYFIELD,AVE,2012-08-29T00:00:00,2017-08-29T00:00:00
Street Resurfacing,2100,2300,N,LAMON,AVE,2013-10-25T00:00:00,2018-10-25T00:00:00
Street Resurfacing,4101,4328,W,SCHOOL,ST,2014-10-03T00:00:00,2019-10-03T00:00:00
Street Resurfacing,3000,3059,N,LINDER,AVE,2012-10-16T00:00:00,2017-10-16T00:00:00
Street Resurfacing,9900,9959,S,SEELEY,AVE,2014-08-04T00:00:00,2019-08-04T00:00:00
Street Resurfacing,6800,6859,N,OLEANDER,AVE,2012-10-18T00:00:00,2017-10-18T00:00:00
Street Resurfacing,5300,5359,W,HUTCHINSON,ST,2015-05-29T00:00:00,2020-05-29T00:00:00
Street Resurfacing,5624,5725,W,PALMER,ST,2014-07-09T00:00:00,2019-07-09T00:00:00
Street Resurfacing,700,757,E,46TH,ST,2011-08-18T00:00:00,2016-06-28T00:00:00
Street Resurfacing,250,327,W,34TH,ST,2011-08-18T00:00:00,2018-05-27T00:00:00
Street Resurfacing,2000,2076,W,HUTCHINSON,ST,2014-07-15T00:00:00,2019-07-15T00:00:00
Street Resurfacing,5201,5359,W,WINNEMAC,AVE,2012-06-19T00:00:00,2017-06-01T00:00:00
Street Resurfacing,2200,2259,E,73RD,ST,2011-08-18T00:00:00,2016-06-22T00:00:00
Street Resurfacing,858,1035,W,BELDEN,AVE,2013-09-27T00:00:00,2018-09-27T00:00:00
Street Resurfacing,449,542,W,45TH,PL,2014-08-18T00:00:00,2019-08-18T00:00:00
Street Resurfacing,20,32,E,BELLEVUE,PL,2013-08-12T00:00:00,2018-08-12T00:00:00
Street Resurfacing,6800,6895,N,MENDOTA,AVE,2012-11-08T00:00:00,2017-11-08T00:00:00
Street Resurfacing,44,89,E,VAN BUREN,ST,2012-10-10T00:00:00,2017-07-09T00:00:00
Street Resurfacing,2001,2159,N,CLIFTON,AVE,2011-10-11T00:00:00,2016-10-09T00:00:00
Street Resurfacing,3000,3059,N,OKETO,AVE,2012-06-15T00:00:00,2017-06-15T00:00:00
Street Resurfacing,6300,6359,S,KOSTNER,AVE,2014-04-25T00:00:00,2019-04-25T00:00:00
Street Resurfacing,1700,1759,W,BARRY,AVE,2011-08-18T00:00:00,2016-06-29T00:00:00
Street Resurfacing,4801,4959,W,FERDINAND,ST,2012-05-11T00:00:00,2017-04-30T00:00:00
Street Resurfacing,3400,3427,E,135TH,ST,2014-08-21T00:00:00,2019-08-21T00:00:00
Street Resurfacing,10000,10125,S,STATE,ST,2013-08-22T00:00:00,2018-07-10T00:00:00
Street Resurfacing,2400,3059,W,WASHINGTON,BLVD,2015-10-05T00:00:00,2020-10-05T00:00:00
Street Resurfacing,3700,3757,W,19TH,ST,2012-08-22T00:00:00,2017-08-22T00:00:00
Street Resurfacing,100,247,N,MASON,AVE,2011-08-15T00:00:00,2016-11-16T00:00:00
Street Resurfacing,6600,6650,N,PONCHARTRAIN,BLVD,2014-07-21T00:00:00,2019-07-21T00:00:00
Street Resurfacing,3800,3822,W,LE MOYNE,ST,2013-09-06T00:00:00,2018-09-06T00:00:00
