MORATORIUM TYPE,STREET ADDRESS BEGIN,STREET ADDRESS END,STREET ADDRESS PREFIX,STREET NAME,STREET NAME SUFFIX,START DATE,EXPIRATION DATE
Street Resurfacing,800,1259,W,GEORGE,ST,2014-11-28T00:00:00,2019-11-28T00:00:00
Street Resurfacing,2000,2061,W,DICKENS,AVE,2012-07-17T00:00:00,2017-07-17T00:00:00
Traffic Restriction,400,679,N,MCCLURG,CT,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,2132,2232,N,ST LOUIS,AVE,2015-06-15T00:00:00,2020-06-15T00:00:00
Street Resurfacing,2232,2259,E,82ND,ST,2015-07-15T00:00:00,2020-07-15T00:00:00
Street Resurfacing,1150,2357,W,99TH,ST,2014-09-10T00:00:00,2019-09-09T00:00:00
Street Resurfacing,1640,1646,W,CHELSEA,PL,2013-06-25T00:00:00,2018-06-25T00:00:00
Street Resurfacing,4557,4757,N,PAULINA,ST,2015-10-13T00:00:00,2020-10-13T00:00:00
Street Resurfacing,8600,8659,S,WOLCOTT,AVE,2014-09-18T00:00:00,2019-09-18T00:00:00
Street Resurfacing,4801,4825,W,WAVELAND,AVE,2014-11-28T00:00:00,2019-11-28T00:00:00
Street Resurfacing,1848,1883,N,LEAVITT,ST,2011-08-13T00:00:00,2017-11-30T00:00:00
Street Resurfacing,1800,1861,N,LINCOLN,AVE,2015-01-28T00:00:00,2019-01-27T00:00:00
Street Resurfacing,2100,2159,W,BERWYN,AVE,2011-12-02T00:00:00,2016-11-28T00:00:00
Street Resurfacing,1400,1459,N,ARTESIAN,AVE,2012-05-31T00:00:00,2017-05-31T00:00:00
Street Resurfacing,1558,1659,N,MONTICELLO,AVE,2013-09-09T00:00:00,2018-08-15T00:00:00
Street Resurfacing,8233,8261,S,BUFFALO,AVE,2013-09-27T00:00:00,2018-09-27T00:00:00
Street Resurfacing,2601,3559,W,83RD,ST,2015-09-24T00:00:00,2020-09-24T00:00:00
Street Resurfacing,5600,5647,N,KEDVALE,AVE,2014-10-02T00:00:00,2019-10-02T00:00:00
Street Resurfacing,4832,4959,N,NEWCASTLE,AVE,2014-08-11T00:00:00,2019-08-11T00:00:00
Street Resurfacing,10259,10359,S,MUSKEGON,AVE,2013-10-15T00:00:00,2018-10-15T00:00:00
Street Resurfacing,200,233,E,49TH,ST,2013-07-24T00:00:00,2018-07-24T00:00:00
Street Resurfacing,6700,6811,W,51ST,ST,2011-07-20T00:00:00,2017-09-17T00:00:00
Traffic Restriction,400,1153,N,LAKE SHORE,DR,2015-11-09T00:00:00,2016-01-04T00:00:00
Street Resurfacing,4900,4959,W,DRUMMOND,PL,2015-08-21T00:00:00,2020-08-21T00:00:00
Street Resurfacing,100,149,N,LA SALLE,ST,2015-08-29T00:00:00,2020-08-29T00:00:00
Traffic Restriction,1,575,W,MADISON,ST,2015-03-16T00:00:00,2016-06-30T00:00:00
Street Resurfacing,2500,2559,N,LAKEVIEW,AVE,2014-06-06T00:00:00,2019-06-06T00:00:00
